METADATA,,,,,,,,,
title.en,"Extra-territorial use* of MCC/MNC, Annex E to Recommendation ITU-T E.212",,,,,,,,
locale.country_or_area.en,Country or Geographical Area,,,,,,,,
locale.mcc_mnc.en,MCC + MNC**,,,,,,,,
locale.msin_range.en,MSIN range***,,,,,,,,
locale.operator_network.en,Operator/Network,,,,,,,,
title.fr,"Utilisation extraterritoriale* du MCC/MNC, Annexe E à la Recommandation UIT-T E.212",,,,,,,,
locale.country_or_area.fr,Pays ou Zone géographique,,,,,,,,
locale.mcc_mnc.fr,MCC + MNC**,,,,,,,,
locale.msin_range.fr,Série de numéros MSIN***,,,,,,,,
locale.operator_network.fr,Nom de Réseau/Opérateur,,,,,,,,
title.es,"Utilización extraterritorial* de MCC/MNC, Anexo E a la Recomendación UIT-T E.212",,,,,,,,
locale.country_or_area.es,País o Zona geografica,,,,,,,,
locale.mcc_mnc.es,MCC + MNC**,,,,,,,,
locale.msin_range.es,Gama de MSIN***,,,,,,,,
locale.operator_network.es,Nombre de la Red/Operador,,,,,,,,
title.ru,"Экстерриториальное использование* кодов MCC/MNC, Приложение E к Рекомендации МСЭ-T E.212",,,,,,,,
locale.country_or_area.ru,Страна или географическая зона,,,,,,,,
locale.mcc_mnc.ru,MCC + MNC**,,,,,,,,
locale.msin_range.ru,Диапазон MSIN***,,,,,,,,
locale.operator_network.ru,Оператор/сеть,,,,,,,,
title.zh,ITU-T E.212建议书附件E，境外使用*MCC/MNC,,,,,,,,
locale.country_or_area.zh,国家或地理区域,,,,,,,,
locale.mcc_mnc.zh,MCC + MNC**,,,,,,,,
locale.msin_range.zh,移动用户识别码号段***,,,,,,,,
locale.operator_network.zh,运营商/网络,,,,,,,,
title.ar,"استعمال الرموز MCC/MNC خارج الأراضي الإقليمية*، الملحق E بالتوصية ITU-T E.212",,,,,,,,
locale.country_or_area.ar,"البلد
أو المنطقة الجغرافية",,,,,,,,
locale.mcc_mnc.ar,**MNC + MCC,,,,,,,,
locale.msin_range.ar,مدى رقم هوية المشترك المتنقل (MSIN)***,,,,,,,,
locale.operator_network.ar,المشغل/الشبكة,,,,,,,,
note_1.en,"As defined in Annex E to Recommendation ITU-T E.212, extra-territorial use of an MCC+MNC is the term used to describe the situation where a MCC+MNC that has been assigned to an operator in one country, Country A, is used in another country, Country B, through a base station established in Country B.",,,,,,,,
note_1.fr,"Comme défini dans l'Annexe E à la Recommandation UIT-T E.212, l'utilisation extraterritoriale d'une ressource MCC+MNC  est l'expression employée pour décrire la situation dans laquelle une ressource MCC+MNC attribuée à un opérateur dans un  pays, le pays A, est utilisée dans un autre pays, le pays B, par l'intermédiaire d'une station de base établie dans le pays B.",,,,,,,,
note_1.es,"Según el Anexo E a la Recomendación UIT-T E.212, la utilización extraterritorial de MCC+MNC es el término que se emplea  para describir la situación en que un MCC+MNC asignado a un operador de un país (""País A"") se utiliza en otro país (""País B"")  mediante una estación de base establecida en el País B.",,,,,,,,
note_1.ru,"Согласно определению в Приложении E к Рекомендации МСЭ-T E.212, экстратерриториальное использование кодов MCC+MNC – это термин, применяемый для описания ситуации, при которой коды MCC+MNC, присвоенные оператору в одной стране (страна A), используются в другой стране (страна B) через базовую станцию, установленную в Стране B. ",,,,,,,,
note_1.zh,如 ITU-T E.212建议书附件E定义，境外使用的MCC+MNC是用来描述以下情形的术语，即一运营商在一个国家（“国家A”）分配到的MCC+MNC，通过在另一个国家（“国家B”）建立的基站用于国家B,,,,,,,,
note_1.ar,"استعمال الرمز الثنائي MCC+MNC خارج الأراضي الإقليمية، كما هو معرّف في الملحق E بالتوصية ITU-T E.212، هو المصطلح الذي يستعمل لوصف الحالة التي يكون فيها الرمز الثنائي MCC+MNC المخصص لمشغل في بلد (""بلد A"") مستعملاً في بلد آخر (""بلد B"") من خلال محطة قاعدة منشأة في البلد B.",,,,,,,,
note_2.en,MCC: Mobile Country Code / MNC: Mobile Network Code ,,,,,,,,
note_2.fr,MCC: Indicatif de pays du mobile / MNC: Code de réseau mobile,,,,,,,,
note_2.es,MCC: Indicativo de país para el servicio móvil / MNC: Indicativo de red para el servicio móvil,,,,,,,,
note_2.ru,"MCC: Код страны в системе подвижной связи/Mobile Country Code
MNC: Код сети подвижной связи/Mobile Network Code",,,,,,,,
note_2.zh,MCC: 移动国家代码 / MNC: 移动网络代码,,,,,,,,
note_2.ar,MCC: الرمز الدليلي القُطري للاتصالات المتنقلة  / MNC: الرمز الدليلي للشبكة المتنقلة ,,,,,,,,
note_3.en,MSIN: Mobile Subscription Identification Number,,,,,,,,
note_3.fr,MSIN: numéro d'identification d'abonnement mobile,,,,,,,,
note_3.es,MSIN: número de identificación de suscripción al servicio móvil,,,,,,,,
note_3.ru,MSIN: Идентификационный номер абонента подвижной связи/Mobile Subscription Identification Number,,,,,,,,
note_3.zh,MSIN：移动订户标识码,,,,,,,,
note_3.ar,MSIN: رقم تعرف هوية الاشتراك المتنقل,,,,,,,,
,,,,,,,,,
DATA,type=array,,,,,,,,
country_or_area.en,country_or_area.fr,country_or_area.es,country_or_area.ru,country_or_area.zh,country_or_area.ar,country_type,mcc_mnc,msin_range,operator_network
France,France,Francia,Франция,法国,فرنسا,A,208 01,0000000000-0099999999,Orange
France,France,Francia,Франция,法国,فرنسا,A,208 01,0200000000-9999999999,Orange
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 01,0100000000-0199999999,Orange/Monaco Télécom
France,France,Francia,Франция,法国,فرنسا,A,208 10,0000000000 - 2654099999,Société Française du Radiotéléphone
France,France,Francia,Франция,法国,فرنسا,A,208 10,2654200000 - 2654299999,Société Française du Radiotéléphone
France,France,Francia,Франция,法国,فرنسا,A,208 10,2654400000 - 2754099999,Société Française du Radiotéléphone
France,France,Francia,Франция,法国,فرنسا,A,208 10,2754200000 - 2754299999,Société Française du Radiotéléphone
France,France,Francia,Франция,法国,فرنسا,A,208 10,2754400000 - 9999999999,Société Française du Radiotéléphone
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 10,2654100000 - 2654199999,Société Française du Radiotéléphone
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 10,2654300000 - 2654399999,Société Française du Radiotéléphone
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 10,2754100000 - 2754199999,Société Française du Radiotéléphone
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 10,2754300000 - 2754399999,Société Française du Radiotéléphone
