METADATA,,,,,,,,,
title.en,Countries or geographical areas for which information regarding cessation of telex service has been published in the ITU Operational Bulletin (No.),,,,,,,,
title.fr,Pays ou zones géographiques pour lesquels des renseignements relatifs à la cessation du service télex ont été publiés dans le bulletin d'exploitation de l'UIT (No),,,,,,,,
title.es,Países o zonas geográficas para los cuales una información sobre la cesación de servicio de télex ha sido publicada en el Boletín de Explotación de la UIT (No),,,,,,,,
locale.coding.en,Coding,,,,,,,,
locale.coding.fr,Codage,,,,,,,,
locale.coding.es,SCODIFICACIÓN,,,,,,,,
locale.decoding.en,Decoding,,,,,,,,
locale.decoding.fr,DÉCODAGE,,,,,,,,
locale.decoding.es,DESCODIFICACIÓN,,,,,,,,
locale.accounts.en,ACCOUNTS,,,,,,,,
locale.accounts.fr,COMPTABILITE,,,,,,,,
locale.accounts.es,CONTABILIDAD,,,,,,,,
locale.acknowledgement_of_receipt.en,ACKNOWLEDGEMENT OF RECEIPT,,,,,,,,
locale.acknowledgement_of_receipt.fr,ACCUSÉS DE RÉCEPTION,,,,,,,,
locale.acknowledgement_of_receipt.es,ACUSES DE RECIBO,,,,,,,,
locale.addresses.en,ADDRESSES,,,,,,,,
locale.addresses.fr,ADRESSES,,,,,,,,
locale.addresses.es,DIRECCIONES,,,,,,,,
locale.cancellations.en,CANCELLATIONS,,,,,,,,
locale.cancellations.fr,ANNULATIONS,,,,,,,,
locale.cancellations.es,ANULACIONES,,,,,,,,
locale.circulation.en,CIRCULATION,,,,,,,,
locale.circulation.fr,ADRESSES,,,,,,,,
locale.circulation.es,CIRCULATION,,,,,,,,
locale.delay.en,DELAY,,,,,,,,
locale.delay.es,RETRASO,,,,,,,,
locale.delay.fr,RETARD,,,,,,,,
locale.delivery.en,DELIVERY,,,,,,,,
locale.delivery.es,ENTREGA,,,,,,,,
locale.delivery.fr,REMISE,,,,,,,,
locale.disposal.en,DISPOSAL,,,,,,,,
locale.disposal.es,ENCAMINAMIENTO,,,,,,,,
locale.disposal.fr,ACHEMINEMENT,,,,,,,,
locale.duplications.en,DUPLICATIONS,,,,,,,,
locale.duplications.es,DUPLICADOS,,,,,,,,
locale.duplications.fr,DUPLICATA,,,,,,,,
locale.enquiries.en,ENQUIRIES,,,,,,,,
locale.enquiries.es,ENCUESTAS,,,,,,,,
locale.enquiries.fr,ENQUÊTES,,,,,,,,
locale.errors_mutilations_omissions.en,"ERRORS, MUTILATIONS, OMISSIONS",,,,,,,,
locale.errors_mutilations_omissions.es,"ERRORES, ALTERACIONES, OMISIONES",,,,,,,,
locale.errors_mutilations_omissions.fr,"ERREURS, ALTÉRATIONS, OMISSIONS",,,,,,,,
locale.miscellaneous.en,MISCELLANEOUS,,,,,,,,
locale.miscellaneous.es,VARIOS,,,,,,,,
locale.miscellaneous.fr,DIVERS,,,,,,,,
locale.refunds.en,REFUNDS,,,,,,,,
locale.refunds.es,REEMBOLSOS,,,,,,,,
locale.refunds.fr,REMBOURSEMENTS,,,,,,,,
locale.registered_addresses.en,REGISTERED ADDRESSES,,,,,,,,
locale.registered_addresses.es,DIRECCIONES REGISTRADAS,,,,,,,,
locale.registered_addresses.fr,ADRESSES ENREGISTREES,,,,,,,,
locale.repetitions_and_corrections.en,REPETITIONS AND CORRECTIONS,,,,,,,,
locale.repetitions_and_corrections.es,REPETICIONES Y CORRECCIONES,,,,,,,,
locale.repetitions_and_corrections.fr,RÉPÉTITIONS ET CORRECTIONS,,,,,,,,
locale.restrictions.en,RESTRICTIONS,,,,,,,,
locale.restrictions.es,RESTRICCIONES,,,,,,,,
locale.restrictions.fr,RESTRICTIONS,,,,,,,,
locale.telex.en,TELEX,,,,,,,,
locale.telex.es,TÉLEX,,,,,,,,
locale.telex.fr,TELEX,,,,,,,,
locale.word_counts.en,WORD COUNTS,,,,,,,,
locale.word_counts.es,COMPUTO DE PALABRAS,,,,,,,,
locale.word_counts.fr,COMPTE DES MOTS,,,,,,,,
,,,,,,,,,
DATA,,,,,,,,,
code,field,field_desc.en,field_desc.fr,field_desc.es,message.en,message.fr,message.es,,
APHAD,accounts,,,,We are debiting you.,Nous vous débitons.,Les cargamos en cuenta.,,
ASSUM,addresses,Address(es),Adresse(s),Dirección(es),Cannot give better address.,Ne pouvons donner meilleure adresse.,No podemos dar mejor dirección.,,
ATFIX,addresses,Address(es),Adresse(s),Dirección(es),Give full address.,Donnez adresse complète.,Comuniquen dirección completa.,,
ATHAS,addresses,Address(es),Adresse(s),Dirección(es),State name and address of sender.,Communiquez nom et adresse de l’expéditeur.,Comuniquen nombre y dirección del expedidor.,,
ATJAW,addresses,Addressee,Destinataire,Destinatario,Give name of addressee.,Donnez le nom du destinataire.,Comuniquen nombre del destinatario.,,
AYGUM,addresses,Address(es),Adresse(s),Dirección(es),Please have address confirmed by sender.,Prière faire confirmer adresse par l’expéditeur.,Rogamos hagan confirmar la dirección al expedidor.,,
AYHAW,addresses,Addressee,Destinataire,Destinatario,Read name of addressee __________.,Lire nom du destinataire __________.,Lean el nombre del destinatario __________.,,
AYJET,addresses,Destination,Destination,Punto de destino,Read telegraph office of destination as __________.,Lire bureau télégraphique de destination __________.,Lean oficina telegráfica de destino __________.,,
AZBIN,addresses,Address(es),Adresse(s),Dirección(es),Sender's contact address is __________.,Expéditeur peut être touché à l’adresse __________.,Puede encontrarse al expedidor en __________.,,
AZFOP,cancellations,Blank,Manque,Falta,"__________ blank, diverted.","__________ manque, dévié.","__________ falta, desviado.",,
AZGUN,cancellations,Cancellations,Annulations,Anulaciones,Cancel __________ for abstract and accounting purposes.,Annulez __________ pour la comptabilité.,Anulen __________ para contabilidad.,,
AZJEW,cancellations,Cancellations,Annulations,Anulaciones,"Cancel, error of service.","Annulez, erreur de service.","Anulen, error de servicio.",,
AZKEG,cancellations,Cancellations,Annulations,Anulaciones,Cancel our number __________.,Annulez notre numéro __________.,Anulen nuestro número __________.,,
