METADATA,,,,,,,,,,,,,,
title.en,SERVICE RESTRICTIONS (Recapitulatory list of service restrictions in force relating to telecommunications operation),,,,,,,,,,,,,
title.fr,RESTRICTIONS DE SERVICE (Liste récapitulative des restrictions de service en vigueur relatives à l’exploitation des télécommunications),,,,,,,,,,,,,
title.es,RESTRICCIONES DE SERVICIO (Lista recapitulativa de las restricciones de servicio en vigor relativas a la explotación de las telecomunicaciones),,,,,,,,,,,,,
locale.geographic_area.en,Country/Geographical area,,,,,,,,,,,,,
locale.geographic_area.fr,Países/Zonas geográficas,,,,,,,,,,,,,
locale.geographic_area.es,Pays/Zones géographiques,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,
geographic_area.fr,geographic_area.en,geographic_area.es,restrictions.telex_not_provided[boolean],restrictions.telegram_not_provided[boolean],restrictions.no_collect_calls.mobile[boolean],restrictions.no_collect_calls.payphone[boolean],restrictions.no_collect_calls.audiotex[boolean],restrictions.no_collect_calls.virtual[boolean],restrictions.no_collect_calls.incoming[boolean],restrictions.no_collect_calls.outgoing[boolean],restrictions.no_messenger_dispatch[boolean],notes.en,notes.es,notes.fr
Andorre,Andorra,Andorra,TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido ,Le service télex n'est plus assuré.
Antigua-et-Barbuda,Antigua and Barbuda,Antigua y Barbuda,TRUE,,TRUE,TRUE,TRUE,,,,,"The telegram service is no longer provided. Collect calls to mobile, payphone and audiotex numbers are not accepted","El servicio de telegramas está suprimido. No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles, teléfonos públicos y audiotex","Le service des télégrammes n'est plus assuré. Les communications payables à l'arrivée à destination de numéros mobiles, de publiphones ou de numéros audiotex ne sont pas acceptées. "
Argentine,Argentina,Argentina,,,,,,,,,,"The Correo Oficial de La Republica Argentina S.A., Buenos Aires, announces that as from 1 February 2011, the telegrams indicated as TLXx (TELEX DELIVERY) will not be accepted anymore. This restriction will reach incoming and outgoing telegrams from the Argentine (Republic). The special services such as URGENT (urgent transmission and delivery) TFx (telephone delivery), FAXx (facsimile delivery) will be available.","El Correo Oficial de La Republica Argentina S.A., Buenos Aires, anuncia que a partir del 1 de febrero de 2011 dejará de admitir telegramas con la indicación de servicio TLXx (ENTREGA POR TELEX).  Esta restricción alcanza tanto a los telegramas impuestos como los destinados a la República Argentina. Se continuará aceptando los servicios especiales URGENT (transmisión y entrega urgentes) TFx (entrega por teléfono), FAXx (entrega por facsímil). ","Le Correo Oficial de La República Argentina S.A., Buenos Aires, annonce qu'il n'acceptera plus les télégrammes portant l'indication de service TLXx (REMISE PAR TELEX) à compter du 1er février 2011. Cette restriction s'applique aux télégrammes en provenance et à destination de la République argentine. Les télégrammes portant les indications de service spécial URGENT (transmission et remise urgentes), TFx (remise par téléphone) et FAXx (remise par télécopie) continueront d'être acceptés. "
Aruba,Aruba,Aruba,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées 
Australie,Australia,Australia,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Autriche,Austria,Austria,TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido,Le service télex n'est plus assuré.
Bangladesh,Bangladesh,Bangladesh,TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido,Le service télex n'est plus assuré.
Barbade,Barbados,Barbados,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Belgique,Belgium,Bélgica,,,,,,,,,,No collect calls are accepted between a foreign operator and Belgacom operator. Incoming collect calls are available through Belgium Direct Service.,No se aceptan llamadas de cobro revertido entre un operador extranjero y el operador Belgacom. La recepción de llamadas de cobro revertido se efectúa a través del servicio directo con Bélgica,Aucune communication payable à l'arrivée n'est acceptée entre un opérateur étranger et l'opérateur Belgacom. Il est possible d'utiliser le service Belgium Direct pour établir des communications entrantes payables à l'arrivée.
Belize,Belize,Belice,,,,TRUE,,,,,,Collect calls to mobile numbers or payphones are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles o de teléfonos públicos,Les communications payables à l'arrivée à destination de numéros mobiles ou de publiphones ne sont pas acceptées.
